OrderID     LastName             FirstName  OrderDate
----------- -------------------- ---------- -----------------------
10248       Buchanan             Steven     1996-07-04 00:00:00.000
10249       Suyama               Michael    1996-07-05 00:00:00.000
10250       Peacock              Margaret   1996-07-08 00:00:00.000
10251       Leverling            Janet      1996-07-08 00:00:00.000
10252       Peacock              Margaret   1996-07-09 00:00:00.000
10253       Leverling            Janet      1996-07-10 00:00:00.000
10254       Buchanan             Steven     1996-07-11 00:00:00.000
10255       Dodsworth            Anne       1996-07-12 00:00:00.000
10256       Leverling            Janet      1996-07-15 00:00:00.000
10257       Peacock              Margaret   1996-07-16 00:00:00.000
10258       Davolio              Nancy      1996-07-17 00:00:00.000
10259       Peacock              Margaret   1996-07-18 00:00:00.000
10260       Peacock              Margaret   1996-07-19 00:00:00.000
10261       Peacock              Margaret   1996-07-19 00:00:00.000
10262       Callahan             Laura      1996-07-22 00:00:00.000
10263       Dodsworth            Anne       1996-07-23 00:00:00.000
10264       Suyama               Michael    1996-07-24 00:00:00.000
10265       Fuller               Andrew     1996-07-25 00:00:00.000
10266       Leverling            Janet      1996-07-26 00:00:00.000
10267       Peacock              Margaret   1996-07-29 00:00:00.000
10268       Callahan             Laura      1996-07-30 00:00:00.000
10269       Buchanan             Steven     1996-07-31 00:00:00.000
10270       Davolio              Nancy      1996-08-01 00:00:00.000
10271       Suyama               Michael    1996-08-01 00:00:00.000
10272       Suyama               Michael    1996-08-02 00:00:00.000
10273       Leverling            Janet      1996-08-05 00:00:00.000
10274       Suyama               Michael    1996-08-06 00:00:00.000
10275       Davolio              Nancy      1996-08-07 00:00:00.000
10276       Callahan             Laura      1996-08-08 00:00:00.000
10277       Fuller               Andrew     1996-08-09 00:00:00.000
10278       Callahan             Laura      1996-08-12 00:00:00.000
10279       Callahan             Laura      1996-08-13 00:00:00.000
10280       Fuller               Andrew     1996-08-14 00:00:00.000
10281       Peacock              Margaret   1996-08-14 00:00:00.000
10282       Peacock              Margaret   1996-08-15 00:00:00.000
10283       Leverling            Janet      1996-08-16 00:00:00.000
10284       Peacock              Margaret   1996-08-19 00:00:00.000
10285       Davolio              Nancy      1996-08-20 00:00:00.000
10286       Callahan             Laura      1996-08-21 00:00:00.000
10287       Callahan             Laura      1996-08-22 00:00:00.000
10288       Peacock              Margaret   1996-08-23 00:00:00.000
10289       King                 Robert     1996-08-26 00:00:00.000
10290       Callahan             Laura      1996-08-27 00:00:00.000
10291       Suyama               Michael    1996-08-27 00:00:00.000
10292       Davolio              Nancy      1996-08-28 00:00:00.000
10293       Davolio              Nancy      1996-08-29 00:00:00.000
10294       Peacock              Margaret   1996-08-30 00:00:00.000
10295       Fuller               Andrew     1996-09-02 00:00:00.000
10296       Suyama               Michael    1996-09-03 00:00:00.000
10297       Buchanan             Steven     1996-09-04 00:00:00.000
10298       Suyama               Michael    1996-09-05 00:00:00.000
10299       Peacock              Margaret   1996-09-06 00:00:00.000
10300       Fuller               Andrew     1996-09-09 00:00:00.000
10301       Callahan             Laura      1996-09-09 00:00:00.000
10302       Peacock              Margaret   1996-09-10 00:00:00.000
10303       King                 Robert     1996-09-11 00:00:00.000
10304       Davolio              Nancy      1996-09-12 00:00:00.000
10305       Callahan             Laura      1996-09-13 00:00:00.000
10306       Davolio              Nancy      1996-09-16 00:00:00.000
10307       Fuller               Andrew     1996-09-17 00:00:00.000
10308       King                 Robert     1996-09-18 00:00:00.000
10309       Leverling            Janet      1996-09-19 00:00:00.000
10310       Callahan             Laura      1996-09-20 00:00:00.000
10311       Davolio              Nancy      1996-09-20 00:00:00.000
10312       Fuller               Andrew     1996-09-23 00:00:00.000
10313       Fuller               Andrew     1996-09-24 00:00:00.000
10314       Davolio              Nancy      1996-09-25 00:00:00.000
10315       Peacock              Margaret   1996-09-26 00:00:00.000
10316       Davolio              Nancy      1996-09-27 00:00:00.000
10317       Suyama               Michael    1996-09-30 00:00:00.000
10318       Callahan             Laura      1996-10-01 00:00:00.000
10319       King                 Robert     1996-10-02 00:00:00.000
10320       Buchanan             Steven     1996-10-03 00:00:00.000
10321       Leverling            Janet      1996-10-03 00:00:00.000
10322       King                 Robert     1996-10-04 00:00:00.000
10323       Peacock              Margaret   1996-10-07 00:00:00.000
10324       Dodsworth            Anne       1996-10-08 00:00:00.000
10325       Davolio              Nancy      1996-10-09 00:00:00.000
10326       Peacock              Margaret   1996-10-10 00:00:00.000
10327       Fuller               Andrew     1996-10-11 00:00:00.000
10328       Peacock              Margaret   1996-10-14 00:00:00.000
10329       Peacock              Margaret   1996-10-15 00:00:00.000
10330       Leverling            Janet      1996-10-16 00:00:00.000
10331       Dodsworth            Anne       1996-10-16 00:00:00.000
10332       Leverling            Janet      1996-10-17 00:00:00.000
10333       Buchanan             Steven     1996-10-18 00:00:00.000
10334       Callahan             Laura      1996-10-21 00:00:00.000
10335       King                 Robert     1996-10-22 00:00:00.000
10336       King                 Robert     1996-10-23 00:00:00.000
10337       Peacock              Margaret   1996-10-24 00:00:00.000
10338       Peacock              Margaret   1996-10-25 00:00:00.000
10339       Fuller               Andrew     1996-10-28 00:00:00.000
10340       Davolio              Nancy      1996-10-29 00:00:00.000
10341       King                 Robert     1996-10-29 00:00:00.000
10342       Peacock              Margaret   1996-10-30 00:00:00.000
10343       Peacock              Margaret   1996-10-31 00:00:00.000
10344       Peacock              Margaret   1996-11-01 00:00:00.000
10345       Fuller               Andrew     1996-11-04 00:00:00.000
10346       Leverling            Janet      1996-11-05 00:00:00.000
10347       Peacock              Margaret   1996-11-06 00:00:00.000
10348       Peacock              Margaret   1996-11-07 00:00:00.000
